SBUX
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-20,87.33,88.23,86.47,86.79,85.8638,4540684
2022-10-21,87,88.9694,86.56,88.61,87.6644,9088750
2022-10-24,86.9,87.51,82.43,83.76,82.8661,16499330
2022-10-25,84.1,86,84.1,85.21,84.3007,10674030
2022-10-26,85.61,88.23,85.48,85.89,84.9734,9990898
2022-10-27,86.13,86.4,84.081,85.28,84.3699,9524568
2022-10-28,85.17,87.79,84.31,87.1,86.1705,8284918
2022-10-31,86.6,87.57,85.95,86.59,85.6659,7401123
2022-11-01,88.06,88.88,86.58,87.1,86.1705,6219632
2022-11-02,87.27,88.58,84.53,84.58,83.6774,7661699
2022-11-03,84.07,85.47,82.97,84.68,83.7763,8855106
2022-11-04,91.98,93.6,90.52,91.86,90.8797,20194311
2022-11-07,91.67,92.36,89.28,90.45,89.4847,10190200
2022-11-08,90.92,93.7771,90.92,92.75,91.7602,9675544
2022-11-09,91.605,92.595,91.34,91.63,91.1731,6271203
2022-11-10,93.89,96.42,93.33,96.26,95.7801,10408390
2022-11-11,96.76,98.67,96.57,97.38,96.8945,8294396
2022-11-14,97.13,98.56,96.685,97.42,96.9343,8521098
2022-11-15,98.91,99.53,97.29,97.83,97.3422,6409950
2022-11-16,96.52,97.96,96.26,97.07,96.586,5348881
2022-11-17,95.21,97.01,95.1,96.97,96.4865,5249906

NOVT
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-25,128.7,136.3,128.7,136.1,136.1,234800
2022-10-26,135.91,138.97,134.9,135.75,135.75,252900
2022-10-27,137.13,138.08,134.79,135.78,135.78,116600
2022-10-28,136.38,142.62,136.36,142.45,142.45,156500
2022-10-31,140.95,143.59,140.7,141.4,141.4,191000
2022-11-01,142.59,142.59,138.77,140.23,140.23,171000
2022-11-02,140.48,144.49,136.32,136.32,136.32,192200
2022-11-03,134.11,137.88,132.37,136.15,136.15,227300
2022-11-04,138.03,139.36,134.88,138.9,138.9,115600
2022-11-07,139.96,142.82,137.89,140.55,140.55,192800
2022-11-08,142.17,151.05,139.8,145.67,145.67,224700
2022-11-09,141.87,143.4,133.8,135.66,135.66,278600
2022-11-10,140.76,150.4,137.18,150.35,150.35,317400
2022-11-11,151.33,156.75,150.81,155.3,155.3,368100
2022-11-14,153.81,158.32,153.01,155.87,155.87,210800
2022-11-15,159,162.48,157.75,160.9,160.9,214400
2022-11-16,159.66,161.79,157.91,158.81,158.81,127200
2022-11-17,156.1,159,153.77,155.71,155.71,125100
2022-11-18,158.67,159.48,153.9,155.15,155.15,352300
2022-11-21,154.6,157.39,153.82,154.95,154.95,170300
2022-11-22,155.31,158.26,154.01,157.75,157.75,176200

CVLG
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-06,30.3,31.59,29.68,30.24,30.0824,189604
2022-10-07,29.91,30.445,29,29.67,29.5154,111506
2022-10-10,29.71,31.28,29.53,30.37,30.2118,141457
2022-10-11,30.15,31.505,30.0173,30.91,30.7489,119015
2022-10-12,30.68,32.3,30.57,31.06,30.8982,118462
2022-10-13,30.51,32.32,30.0454,32.01,31.8432,145806
2022-10-14,32.2,32.54,30.95,31.05,30.8882,130991
2022-10-17,31.55,32.12,31.29,31.86,31.694,79241
2022-10-18,32.12,32.54,31.97,32.3,32.1317,121179
2022-10-19,32.12,32.77,32.12,32.45,32.2809,119361
2022-10-20,32.21,32.4,30.74,30.9,30.739,145064
