ASGN
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,88.76,89.39,87.66,88.25,88.25,242700
2023-03-02,87.53,88.33,87.14,88.04,88.04,154000
2023-03-03,88.93,88.93,87.65,87.79,87.79,197500
2023-03-06,88.01,88.91,87.82,88.21,88.21,207900
2023-03-07,88.3,88.7,87.09,87.14,87.14,104000
2023-03-08,87.5,88.13,85.85,86.68,86.68,126000
2023-03-09,86.98,87.51,85.05,85.06,85.06,152200
2023-03-10,84.65,84.86,82.23,82.61,82.61,223100

HAIN
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,17.78,17.96,17.53,17.96,17.96,669000
2023-03-02,17.83,18.05,17.71,18.03,18.03,501900
2023-03-03,18.18,18.21,17.9,18.11,18.11,604100
2023-03-06,18.07,18.12,17.27,17.48,17.48,903600
2023-03-07,17.44,17.52,16.94,17,17,822300
2023-03-08,16.47,17.19,16.41,17.1,17.1,695300
2023-03-09,17.08,17.38,16.93,17,17,903300
2023-03-10,16.91,16.96,16.55,16.76,16.76,762600

MDXG
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,4.7,4.7,3.61,4.185,4.185,1424947
2023-03-02,4.15,4.15,3.91,3.91,3.91,551157
2023-03-03,3.98,4.51,3.95,4.42,4.42,536338
2023-03-06,4.46,4.46,4.22,4.26,4.26,573994
2023-03-07,4.3,4.405,4.1425,4.2,4.2,595646
2023-03-08,4.22,4.23,3.985,4.04,4.04,444971
2023-03-09,4.05,4.1296,3.95,4,4,539200
2023-03-10,3.95,3.99,3.745,3.85,3.85,1018326

ADSK
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,199.48,200.13,195.18,196.38,196.38,1300100
2023-03-02,195.69,201.97,195.53,201.13,201.13,1523300
2023-03-03,201.75,208.12,201.75,207.46,207.46,1789900
2023-03-06,208,211.12,206.97,208.33,208.33,1299100
2023-03-07,209,211.51,205.07,205.48,205.48,1209800
2023-03-08,205.84,207.58,203.07,204.51,204.51,1012300
2023-03-09,205.71,208.75,199.9,200.49,200.49,1439700
2023-03-10,201.11,201.37,193.12,194.02,194.02,1341200

KDP
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,34.415,34.415,34.01,34.19,33.9962,8861745
2023-03-02,34.47,34.65,34.2,34.58,34.384,8231275
2023-03-03,34.56,34.68,34.28,34.55,34.3542,8223990
2023-03-06,34.54,34.94,34.44,34.82,34.6227,6975891
2023-03-07,34.83,35.015,34.54,34.83,34.6326,6903581
2023-03-08,34.81,35.09,34.615,34.78,34.5829,6891458
2023-03-09,34.89,35.0899,34.505,34.56,34.3641,6029613
2023-03-10,34.65,34.73,34.08,34.32,34.1255,6530141

KFY
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,55.82,57.06,55.58,56.9,56.73,243414
2023-03-02,56.57,57.01,56.105,56.54,56.3711,200399
2023-03-03,56.91,57.03,56.07,56.18,56.0122,267319
2023-03-06,56.05,56.33,55.1,55.41,55.2445,301132
2023-03-07,55.59,55.775,54.885,55.12,54.9553,252829
2023-03-08,58.17,59.91,57.42,58.14,57.9663,531487
2023-03-09,58.43,58.82,56.52,56.58,56.411,392003
2023-03-10,56.37,56.37,54.46,54.77,54.6064,383507

JOBY
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,4.65,4.71,4.39,4.45,4.45,2377900
2023-03-02,4.4,4.42,4.265,4.35,4.35,1972100
2023-03-03,4.4,4.58,4.39,4.56,4.56,1785200
2023-03-06,4.65,4.705,4.46,4.5,4.5,2029200
2023-03-07,4.27,4.35,4.05,4.19,4.19,4795900
2023-03-08,4.21,4.21,4.1,4.2,4.2,2061100
2023-03-09,4.21,4.25,4.02,4.02,4.02,1706600
2023-03-10,4.02,4.11,3.92,3.96,3.96,2972800

JCI
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,62.43,63.62,62.4,63.19,62.8074,4857366
2023-03-02,62.81,63.76,62.26,63.69,63.3043,5155535
2023-03-03,64.06,65.37,63.48,65.21,64.8151,3553389
2023-03-06,65.31,65.73,65.19,65.55,65.1531,3677276
2023-03-07,65.51,66,64.97,65.11,64.7157,5708223
2023-03-08,65.46,65.635,64.281,65.02,64.6263,2351509
2023-03-09,65.38,65.455,63.235,63.3,62.9167,2230851
2023-03-10,63.36,63.46,60.87,61.46,61.0878,4253248

VIAV
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-01,10.91,10.97,10.68,10.77,10.77,1650200
2023-03-02,10.58,10.64,10.4,10.56,10.56,7639000
2023-03-03,10.67,10.81,10.64,10.71,10.71,1593000
